Date,Location,Latitude,Longitude,Operator,Route,Type,Aboard,Fatalities,Ground
02/27/1980,"Manila, Philippines",14.5995124,120.9842195,China Airlines (Taiwan),Taipei - Manila,Boeing B-707-309C,135,2,0
03/14/1980,"Near Warsaw, Poland",52.2296756,21.0122287,LOT Polish Airlines,New York City - Warsaw,Ilyushin IL-62,87,87,0
03/14/1980,"Near Yenice, Turkey",39.929543,27.259331,Military - U.S. Air Force,,Lockheed C-130H,18,18,0
03/21/1980,"Houston, Texas",29.7604267,-95.3698028,Eagle Commuter,"Houston, TX - Brownwood, TX",Piper PA-28-180,10,7,0
03/21/1980,"Off Macae, Brazil",-22.3837126,-41.7827578,VOTEC,,Sikorsky S-76,14,14,0
03/24/1980,"Deer Lake, Canada",49.1852249,-57.4183938,Tomahawk Airways,,Cessna 402,9,6,0
03/30/1980,"Cuiaba, Brazil",-15.5954142,-56.0925824,VoteTaxi Aéreo,,Britten Norman BN Islander,9,9,0
04-12-1980,"Florianopolis, Brazil",-27.5948036,-48.5569286,Transbrasil,Sao Paulo - Florianopolis,Boeing B-727-27C,58,55,0
04/24/1980,"Posht-i-Badam, Iran",25.5051922,59.4454667,Military - U.S. Air Force,,Lockheed EC-130E Hercules,7,5,0
04/25/1980,"Tenerife, Canary Islands",28.2915637,-16.6291304,Dan Air Services,Manchester - Tenerife,Boeing B-727-64,146,146,0
04/27/1980,"Don Muang, Thailand",13.9254892,100.5923206,Thai Airways,Khon Kaen - Bangkok,Hawker Siddeley HS-748-2,53,44,0
05/13/1980,"Campinas, Brazil",-22.9050824,-47.0613327,VoteTaxi Aéreo,,Britten Norman BN Islander,7,7,0
05/13/1980,"Off Varadero, Cuba",23.179858,-81.1885293,Cubana de Aviacion,Training,Ilyushin IL-14,3,3,0
12/21/1980,"Near Rio Hacha, Colombia",11.5384151,-72.9167838,Transportes Aereos del Caribe,Rio Hacha - Medellin,Aerospatiale Caravelle 6R,70,70,0
05/19/1980,"Off Sarasota, Florida",27.336465,-82.5310117,Northeast Jet,"West Palm Beach, FL - New Orleans, LA",Learjet 25D,2,2,0
05/28/1980,"Gran Canaria Island, Spain",27.9202202,-15.5474373,Spanish Air Force,,Lockheed C-130,11,11,0
